config_folder,game_id,crew_size,imposter_count,winner_reason,num_ejections,num_directives_total,num_directives_imposter,num_representatives_total,num_representatives_imposter,num_commissives_total,num_commissives_imposter,num_expressives_total,num_expressives_imposter,num_missing_total,num_missing_imposter
SEVEN_V_ONE_LOG,Game 45,8,1,1,3,61.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 46,8,1,0,3,47.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 47,8,1,1,2,51.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 48,8,1,0,3,59.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 49,8,1,0,6,95.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SEVEN_V_ONE_LOG,Game 50,8,1,0,3,96.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 51,8,1,0,2,68.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 52,8,1,1,2,81.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
SEVEN_V_ONE_LOG,Game 53,8,1,0,3,72.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 54,8,1,0,3,59.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 55,8,1,1,2,72.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 56,8,1,0,0,63.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 57,8,1,1,1,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 58,8,1,1,1,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 59,8,1,1,1,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 60,8,1,0,2,61.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SEVEN_V_ONE_LOG,Game 61,8,1,1,1,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SEVEN_V_ONE_LOG,Game 62,8,1,0,3,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
SEVEN_V_ONE_LOG,Game 63,8,1,1,2,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 64,8,1,0,2,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 65,8,1,0,4,75.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
SEVEN_V_ONE_LOG,Game 66,8,1,0,1,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SEVEN_V_ONE_LOG,Game 67,8,1,0,3,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
SEVEN_V_ONE_LOG,Game 68,8,1,0,3,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
SEVEN_V_ONE_LOG,Game 69,8,1,0,1,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 70,8,1,0,4,66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 71,8,1,0,3,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
SEVEN_V_ONE_LOG,Game 72,8,1,0,4,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
SEVEN_V_ONE_LOG,Game 73,8,1,1,3,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SEVEN_V_ONE_LOG,Game 74,8,1,0,2,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 75,8,1,0,3,81.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SEVEN_V_ONE_LOG,Game 76,8,1,1,1,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 77,8,1,1,4,64.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SEVEN_V_ONE_LOG,Game 78,8,1,1,2,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 79,8,1,0,3,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
SEVEN_V_ONE_LOG,Game 80,8,1,0,2,73.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SEVEN_V_ONE_LOG,Game 81,8,1,0,4,71.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
SEVEN_V_ONE_LOG,Game 82,8,1,1,3,54.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
